Premise Name,Company Brand Name,Address,Halal Certification Expiry Date,Halal Certification Body
26 MAKANAN BARAT,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC26, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
27 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC27, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
28 MEE KARI,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC28, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
2870 MUKIM KELADI,NASI KANDAR NASMIR SDN BHD,KULIM,2019-06-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
29 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC29, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-04-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
29-G JALAN LENGGONG,NASI KANDAR NASMIR SDN BHD,VANTAGE POINT,2022-12-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
2INN1 BOUTIQUE HOTEL & SPA,2INN1 BOUTIQUE HOTEL & SPA,"LOT 1-7, BLOCK B, BANDAR FAJAR, JALAN LEILA,",2019-02-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
3 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC3, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050 KUCHING, SARAWAK",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
3) PASTRY KITCHEN (GROUND FLOOR),THE CITY BAYVIEW HOTEL LANGKAWI,"THE CITY BAYVIEW HOTEL LANGKAWI JALAN PANDAK MAYAH 1, PUSAT BANDAR KUAH",2023-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
3) PASTY KITCHEN (GROUND FLOOR),THE CITY BAYVIEW HOTEL LANGKAWI,THE CITY BAYVIEW HOTEL LANGKAWI JALAN PANDAK MAYAH 1 PUSAT BANDAR KUAH,2023-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
